# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.09977
# Diagonal elements of inverse mass matrix:
# 0.254165
-12.1868,0.905164,1.09977,1,1,0,12.3911,0.369679
-11.3756,1,1.09977,2,3,0,11.9817,0.671365
-12.0226,0.845221,1.09977,1,1,0,12.0488,0.731817
-11.1615,1,1.09977,1,3,0,11.7896,0.638762
-11.1189,1,1.09977,2,3,0,11.1862,0.630174
-10.981,0.958575,1.09977,2,3,0,11.3853,0.540255
-11.0948,0.931855,1.09977,2,3,0,11.3344,0.624763
-10.9968,0.655419,1.09977,2,3,0,13.3689,0.593575
-11.0923,0.742646,1.09977,2,3,0,12.58,0.499509
-11.6301,0.929069,1.09977,2,3,0,11.6667,0.699252
-11.1892,1,1.09977,2,3,0,11.5211,0.643807
-11.21,0.99416,1.09977,1,1,0,11.2707,0.647389
-11.0061,0.96593,1.09977,2,3,0,11.4508,0.597795
-11.0704,0.981311,1.09977,1,1,0,11.0745,0.618704
-11.3093,0.921255,1.09977,1,3,0,11.5618,0.45891
-11.2444,1,1.09977,1,1,0,11.3637,0.469149
-11.3611,0.964981,1.09977,1,1,0,11.4274,0.451427
-11.0013,1,1.09977,2,3,0,11.3373,0.595677
-11.5235,0.856948,1.09977,1,3,0,11.7139,0.430821
-11.2847,1,1.09977,1,1,0,11.5127,0.462658
-11.2847,0.513717,1.09977,1,3,0,13.2297,0.462658
-11.0647,1,1.09977,2,3,0,11.2276,0.617197
-10.9737,1,1.09977,1,3,0,11.0387,0.578802
-10.9653,1,1.09977,1,3,0,10.9716,0.565226
-12.3688,0.684999,1.09977,2,3,0,13.1302,0.35649
-11.0075,0.983543,1.09977,1,3,0,12.3281,0.598366
-11.0903,0.963729,1.09977,2,3,0,11.2267,0.50001
-11.0504,1,1.09977,1,1,0,11.0977,0.510946
-11.0035,1,1.09977,1,1,0,11.0416,0.527925
-11.3744,0.73489,1.09977,2,3,0,12.4981,0.671206
-11.13,1,1.09977,2,3,0,11.3211,0.632512
-11.0062,1,1.09977,1,1,0,11.0948,0.59781
-11.1431,0.983286,1.09977,2,3,0,11.1541,0.487972
-11.3384,0.941902,1.09977,1,1,0,11.3665,0.454637
-12.3345,0.742934,1.09977,1,1,0,12.3516,0.358894
-13.6778,0.696228,1.09977,1,1,0,13.8649,0.283534
-12.0248,1,1.09977,2,3,0,13.2922,0.731971
-11.2607,1,1.09977,1,1,0,11.8271,0.655476
-11.0394,1,1.09977,1,1,0,11.1987,0.609828
-11.0975,0.940685,1.09977,2,3,0,11.3946,0.625385
-11.192,0.973402,1.09977,1,1,0,11.2152,0.644295
-11.7045,0.869715,1.09977,1,1,0,11.7126,0.706183
-12.4617,0.832247,1.09977,1,1,0,12.5331,0.760112
-11.6568,1,1.09977,1,1,0,12.323,0.701788
-13.4585,0.654489,1.09977,1,1,0,13.4595,0.807524
-12.8813,1,1.09977,1,1,0,13.6682,0.782261
-12.2409,1,1.09977,1,1,0,12.9298,0.746686
-11.1106,0.937491,1.09977,1,3,0,12.532,0.495128
-11.2965,0.944555,1.09977,1,1,0,11.3171,0.460845
